Date,Open,High,Low,Close,Volume,Adj Close
2014-03-12,78.10,79.00,78.03,78.97,2148400,78.97
2014-03-11,79.05,79.62,78.57,78.80,2453300,78.80
2014-03-10,79.17,79.36,78.45,78.98,2672200,78.98
2014-03-07,79.10,80.09,79.08,79.46,4465400,79.46
2014-03-06,77.80,78.39,77.36,78.22,2768200,78.22
2014-03-05,78.52,78.60,77.36,77.42,3366600,77.42
2014-03-04,78.57,79.05,78.36,78.62,2830600,78.62
2014-03-03,77.63,77.99,76.55,77.39,3034600,77.39
2014-02-28,77.90,78.71,77.61,78.30,3437600,78.30
2014-02-27,78.00,78.39,77.48,78.02,3299600,78.02
2014-02-26,78.31,79.06,78.31,78.42,3958700,78.18
2014-02-25,77.73,78.52,77.57,78.11,3422000,77.87
2014-02-24,76.59,78.14,76.49,77.84,5536100,77.60
2014-02-21,75.39,76.66,75.36,76.48,4364300,76.25
2014-02-20,74.99,75.75,74.86,75.58,2790800,75.35
2014-02-19,74.61,75.55,74.61,74.82,2700700,74.59
2014-02-18,75.14,75.47,74.90,75.21,2967800,74.98
2014-02-14,74.87,75.18,74.20,75.07,3102400,74.84
2014-02-13,73.83,74.96,73.74,74.87,3080700,74.64
2014-02-12,74.31,74.81,73.84,74.11,3198100,73.88
2014-02-11,72.65,74.15,72.45,73.98,4369700,73.75
2014-02-10,72.73,72.99,72.12,72.67,3215200,72.45
2014-02-07,71.91,72.85,71.75,72.69,3373600,72.47
2014-02-06,70.75,72.27,70.50,71.51,3679300,71.29
2014-02-05,70.47,70.86,69.85,70.60,3683400,70.38
2014-02-04,70.96,71.24,70.34,70.51,3502100,70.29
2014-02-03,72.76,72.79,70.78,70.88,4758000,70.66
2014-01-31,72.99,73.31,72.36,72.85,4326000,72.63
2014-01-30,72.45,74.20,72.38,73.94,5219200,73.71
2014-01-29,72.31,72.57,71.51,71.77,5244400,71.55
2014-01-28,72.29,73.15,72.15,72.71,4534600,72.49
2014-01-27,71.91,72.26,71.72,71.90,5705800,71.68
2014-01-24,72.29,72.66,71.64,71.65,4606000,71.43
2014-01-23,73.01,73.18,72.02,72.73,4752600,72.51
2014-01-22,73.96,74.06,73.50,73.50,3712000,73.28
2014-01-21,74.14,74.60,73.41,73.75,6573500,73.52
2014-01-17,74.60,74.74,73.38,73.39,4925900,73.17
2014-01-16,75.23,75.38,74.35,74.79,2424000,74.56
2014-01-15,75.25,75.73,75.14,75.43,2926200,75.20
2014-01-14,75.10,75.34,74.65,75.17,3904200,74.94
2014-01-13,76.83,76.92,75.00,75.18,4131200,74.95
2014-01-10,77.00,77.35,76.70,76.92,2554000,76.68
2014-01-09,77.42,77.46,76.76,77.09,3131600,76.85
2014-01-08,77.50,77.95,76.93,77.09,3448900,76.85
2014-01-07,77.71,78.00,77.41,77.49,3384500,77.25
2014-01-06,78.47,78.60,77.41,77.43,3022900,77.19
2014-01-03,78.15,78.63,77.96,78.03,2798500,77.79
2014-01-02,78.15,78.83,77.93,78.24,2659300,78.00
2013-12-31,78.77,78.95,78.35,78.64,2053100,78.40
2013-12-30,77.92,78.89,77.92,78.74,2144500,78.50
2013-12-27,78.75,79.01,78.03,78.16,2320400,77.92
2013-12-26,77.74,78.46,77.70,78.19,2304900,77.95
2013-12-24,77.22,77.80,77.21,77.66,1391300,77.42
2013-12-23,77.09,77.44,76.69,77.11,4688400,76.87
2013-12-20,77.44,77.70,76.64,77.34,10221300,77.10
2013-12-19,78.57,78.75,77.76,78.26,5147300,78.02
2013-12-18,77.00,78.58,76.95,78.55,5407200,78.31
2013-12-17,76.94,77.25,76.40,76.76,6990300,76.53
2013-12-16,76.91,77.10,76.28,76.44,4865500,76.21
2013-12-13,76.35,76.79,76.24,76.40,3781100,76.17
2013-12-12,76.92,76.92,75.42,76.23,5413000,76.00
2013-12-11,78.92,79.02,76.73,76.84,6655800,76.37
2013-12-10,79.35,79.66,79.11,79.22,2696900,78.73
2013-12-09,79.93,80.26,79.67,79.78,2149600,79.29
2013-12-06,79.62,79.89,79.26,79.86,1947000,79.37
2013-12-05,78.99,79.34,78.63,78.95,2746700,78.46
2013-12-04,78.90,79.18,78.26,78.82,2416600,78.33
2013-12-03,78.89,79.49,78.60,79.13,2564600,78.64
2013-12-02,79.47,80.14,78.92,79.09,3233900,78.60
2013-11-29,79.58,79.76,79.08,79.14,1737600,78.65
2013-11-27,79.69,79.83,79.09,79.33,1867100,78.84
2013-11-26,79.77,79.87,79.16,79.60,3680200,79.11
2013-11-25,79.06,79.61,78.88,79.13,2291700,78.64
2013-11-22,78.46,78.98,77.98,78.87,3517800,78.38
2013-11-21,77.82,78.22,77.41,78.09,2334700,77.61
2013-11-20,78.00,78.60,77.73,77.84,2946500,77.36
2013-11-19,78.41,78.63,77.55,77.81,3221600,77.33
2013-11-18,79.40,79.40,78.33,78.58,2846600,78.09
2013-11-15,78.39,79.28,78.25,79.22,2887000,78.73
2013-11-14,78.23,78.81,77.89,78.64,2382100,78.15
2013-11-13,76.54,77.89,76.46,77.85,2401100,77.37
2013-11-12,77.00,77.26,76.40,76.87,2163700,76.40
2013-11-11,77.30,77.36,76.72,77.16,1761600,76.68
2013-11-08,75.59,77.14,75.58,77.12,2910800,76.64
2013-11-07,77.20,77.30,75.66,75.70,3125400,75.23
2013-11-06,77.66,77.66,76.15,76.76,1972700,76.29
2013-11-05,76.04,77.32,75.88,77.20,3160200,76.72
2013-11-04,76.33,76.54,75.63,76.37,1804600,75.90
2013-11-01,75.80,76.43,75.65,76.06,2110800,75.59
2013-10-31,76.04,76.27,75.14,75.76,4092200,75.29
2013-10-30,76.61,76.89,75.95,76.13,3157100,75.66
2013-10-29,75.78,76.18,75.54,75.91,2100500,75.44
2013-10-28,75.75,75.98,75.37,75.51,3068400,75.04
2013-10-25,75.56,76.36,75.35,75.70,3444500,75.23
2013-10-24,75.61,75.78,75.24,75.51,2813200,75.04
2013-10-23,75.54,75.94,75.11,75.56,2381000,75.09
2013-10-22,76.11,76.49,75.52,75.96,3409400,75.49
2013-10-21,75.89,76.37,75.50,76.09,4996300,75.62
